stage,evaluated_classes,ignored_classes,images,precision,recall,map50,map5095,model_path,dataset_root,class_id,class_name,gt_boxes,precision_at_50,recall_at_50,ap50,ap50_95
external_preprocessed_ffb_masked_4class,"abnormal,ripe,under_ripe,unripe","empty,overripe",361,0.06582905032218604,0.8963507429561836,0.7101478607612597,0.48513495879590285,<LOCAL_EXPERIMENT_PATH>,<LOCAL_PROJECT_PATH>,,macro,528,0.065829,0.896351,0.710148,0.485135
,,,,,,,,,,0,abnormal,28,0.015317,1.000000,0.738612,0.454246
,,,,,,,,,,3,ripe,68,0.111349,0.764706,0.603170,0.429214
,,,,,,,,,,4,under_ripe,69,0.077313,0.884058,0.665743,0.491811
,,,,,,,,,,5,unripe,363,0.059337,0.936639,0.833067,0.565269


