stage,seeds,images_per_seed,coverage_mean,coverage_sd,top1_accuracy_mean,top1_accuracy_sd,macro_precision_mean,macro_precision_sd,macro_recall_mean,macro_recall_sd,macro_f1_mean,macro_f1_sd
source_only,3,95,1.0,0.0,0.4631578947368421,0.04588314677411235,0.393581454387906,0.06896056616196004,0.40779986791464556,0.09742694578298518,0.3479980479474741,0.05648781930414724
model2_balanced,3,95,1.0,0.0,0.6,0.03795317132067358,0.4804232736019273,0.130503788818187,0.45845687868643387,0.09051820331515646,0.438278476058407,0.10347291555504785
strict_ssod,3,95,1.0,0.0,0.6350877192982456,0.03383737109120333,0.4014523825044604,0.04363562938616565,0.44506387921022067,0.027461266424874675,0.40475888917844133,0.03362064947061941


