seed,scene_map50,scene_map5095,calibration_map50,calibration_map5095,calibration_precision,calibration_recall,calibration_f1,checkpoint,locked_external_map50,locked_external_map5095,locked_external_precision,locked_external_recall,locked_external_f1
42,0.6216138026900306,0.5247241322859931,0.7292430498754999,0.48369847380596936,0.8878049109843574,0.5444197365510495,0.6449795828677182,<LOCAL_EXPERIMENT_PATH>,0.702425811694703,0.4765704440382541,0.6338891088005688,0.7571152787381572,0.6698515973117223
2026,0.6200020530249497,0.5248881839523746,0.7158092177794859,0.48450271463043065,0.8729812810265764,0.510192974229379,0.5984732292798636,<LOCAL_EXPERIMENT_PATH>,0.7101478607612597,0.48513495879590285,0.6225610413352132,0.7566780754702168,0.659683250298726
3407,0.6702479501793305,0.5726420168350983,0.7269985453205122,0.49061808155560355,0.8650418830755011,0.5544968591220597,0.6529055824497891,<LOCAL_EXPERIMENT_PATH>,0.6699350708076742,0.4608105974586988,0.6245401270556069,0.6774525027402264,0.6333578380696394


